uid,platform,component,componentgroup,createdBy.user.user_id,modifiedBy.user.user_id,updated, applications[0].id
config:component:aggregator:gcms.gcmsoss_sensu_mon,  legal, gcmsoss_sensu_mon,  GCMS, , , 2018-03-27T08:25:22.150Z,202977
config:component:aggregator:content.reuters_research,  eikon, Reuters Research,  Content,138890,138890, 2018-03-27T13:27:16.468Z,202057
config:component:aggregator:common_tools.sap,  eikon, SAP,  Common_Tools,138890,138890, 2018-03-27T14:30:46.830Z,204957
config:component:aggregator:finance_apps.fxrates,  ebs, FxRates,  Finance_Apps,138890,138890, 2017-08-09T06:55:01.609Z,201441
config:component:aggregator:market_apps.unica_fr,  ebs, Unica_FR,  Market_Apps,138890,138890, 2017-08-23T10:22:12.649Z,201078
config:component:aggregator:ecp_derived_store.sdi_deals,  content, SDI_Deals,  ECP_Derived_Store,138890,138890, 2017-08-15T06:25:13.320Z,204618
config:component:aggregator:market_apps.eloqua,  ebs, Eloqua,  Market_Apps,138890,138890, 2017-08-23T10:19:46.832Z,201228
config:component:aggregator:otc_apps.maximise,  ebs, Maximise,  OTC_Apps,138890,138890, 2017-08-23T10:29:47.270Z,201056
config:component:aggregator:eikon_analytics_platform.ep_logstash,  eikon, ep_logstash,  Eikon_Analytics_Platform,138890,138890, 2017-09-11T13:45:50.616Z,203802
config:component:aggregator:venues_td_amers.obkultra,  elektron, obkultra,  Venues_TD_AMERS,138890,138890, 2017-08-31T14:08:48.381Z,200048
config:component:aggregator:venues_td_amers.nysearca,  elektron, nysearca,  Venues_TD_AMERS,138890,138890, 2017-09-07T18:02:41.692Z,200048
config:component:aggregator:finance_apps.alliant,  ebs, Alliant,  Finance_Apps,138890,138890, 2017-09-26T11:42:32.770Z,202888
config:component:aggregator:ecp_derived_store.dap_evm,  content, DAP_EVM,  ECP_Derived_Store,138890,138890, 2017-09-20T08:06:02.072Z,204618
config:component:aggregator:dco.mw_app_server_base,  other, MW_App_Server_Base,  DCO,138890,138890, 2017-09-26T07:01:19.998Z,200364
config:component:aggregator:time_series.time_series_|_ets_bs,  eikon, ETS BS_old,  Time_Series, , , 2017-09-19T15:40:19.058Z,203893
config:component:aggregator:graphics.graphics_core,  editorial, Graphics_Core,  Graphics,138890,138890, 2017-09-26T07:17:16.580Z,202187
config:component:aggregator:common_tools.buildsupport,  eikon, BuildSupport,  Common_Tools,138890,138890, 2017-10-03T05:47:36.355Z,202641
config:component:aggregator:corporate_apps.clarity,  ebs, Clarity,  Corporate_Apps,138890,138890, 2017-09-26T11:52:24.681Z,201333
config:component:aggregator:otc_apps.rap,  ebs, RAP,  OTC_Apps,138890,138890, 2017-09-26T11:49:21.997Z,201214
config:component:aggregator:otc_apps.cms,  ebs, CMS,  OTC_Apps,138890,138890, 2017-09-26T11:48:53.908Z,201684
config:component:aggregator:osgt.gtm_appserver,  trta_onesource, GTM_AppServer,  OSGT,138890,138890, 2017-10-19T17:16:58.168Z,202988
config:component:aggregator:osgt.gtm_report,  trta_onesource, GTM_Report,  OSGT,138890,138890, 2017-10-19T17:17:51.966Z,202988
config:component:aggregator:osgt.gtm_cache,  trta_onesource, GTM_Cache,  OSGT,138890,138890, 2017-10-19T17:16:29.686Z,202988
config:component:aggregator:fixed_income.tm3,  content, TM3,  Fixed Income,138890,138890, 2017-09-28T11:59:05.365Z,201994
config:component:aggregator:lynx.scheduler,  editorial, Scheduler,  Lynx,138890,138890, 2017-10-03T10:14:26.158Z,204394
config:component:aggregator:contributions.case_monitoring,  elektron, case_monitoring,  Contributions,138890,138890, 2017-11-01T13:40:22.713Z,204003
config:component:aggregator:wm_asset_management.security_view_ui,  wealth_management, security_view_ui,  WM_Asset_Management,138890,138890, 2017-11-16T21:37:57.041Z,202950
config:component:aggregator:launchpad.launchpad_app,  eikon, Launchpad_app,  Launchpad,138890,138890, 2017-11-14T10:43:24.149Z,204958
config:component:aggregator:ecp_derived_store.sdiadapter_cl3,  content, SDIAdapter_CL3,  ECP_Derived_Store,138890,138890, 2017-10-24T20:11:11.343Z,204618
config:component:aggregator:collaboration.tl_new_relic_wp,  eikon, tl_new_relic_wp,  Collaboration,138890,138890, 2017-10-23T04:13:27.482Z,204023
config:component:aggregator:dco.dba_element_manager,  other, DBA_Element_Manager,  DCO,138890,138890, 2017-11-04T08:12:10.817Z,200364
config:component:aggregator:xvs.imint,  content, IMINT,  XVS,138890,138890, 2017-10-26T19:57:14.618Z,201652
config:component:aggregator:value_add.edsh_config,  elektron, edsh_config,  Value Add,138890,138890, 2017-11-06T12:27:25.404Z,202032
config:component:aggregator:osgt.gtm_mq,  trta_onesource, GTM_MQ,  OSGT,138890,138890, 2017-10-19T17:18:16.606Z,202988
config:component:aggregator:eikon_analytics_platform.upva_engine,  eikon, UPVA_Engine,  Eikon_Analytics_Platform,138890,138890, 2018-01-04T10:48:02.009Z,203802
config:component:aggregator:eikon_library_core.appmanagement,  eikon, AppManagement,  Eikon_Library_Core,138890,138890, 2018-01-16T08:33:27.568Z,202641
config:component:aggregator:benchmark_fixing.eciborg_core_flume,  elektron, eciborg_core_flume,  Benchmark_Fixing,138890,138890, 2017-11-26T16:41:23.883Z,202032
config:component:aggregator:common_tools.eo_ci,  eikon, EO_CI,  Common_Tools,138890,138890, 2017-11-27T09:36:22.666Z,204957
config:component:aggregator:benchmark_fixing.eciborg_core_app,  elektron, eciborg_core_app,  Benchmark_Fixing,138890,138890, 2017-12-07T15:06:03.487Z,202032
config:component:aggregator:venues_td_emea.dborsapa,  elektron, dborsapa,  Venues_TD_EMEA,138890,138890, 2017-12-08T15:19:50.122Z,200048
config:component:aggregator:collaboration.tl_rundeck,  eikon, tl_rundeck,  Collaboration,138890,138890, 2018-01-11T10:52:47.518Z,204023
config:component:aggregator:maf.mafui,  legal, MafUI,  MAF,138890,138890, 2018-01-18T20:21:42.542Z,200337
config:component:aggregator:beacon.beacon_base,  eikon, beacon_base,  beacon,138890,138890, 2017-11-21T10:58:24.250Z,204366
